Territory	Date	t	N	S(t)	C(t)	I(t)	R(t)	D(t)
['SP, SP, *']	2020-11-20	269	46289333	43930722	2358611	125566	2151447	81598
['SP, SP, *']	2020-11-21	270	46289333	43919861	2369472	134994	2152678	81800
['SP, SP, *']	2020-11-22	271	46289333	43908162	2381171	143618	2155552	82001
['SP, SP, *']	2020-11-23	272	46289333	43896377	2392956	140817	2169938	82201
['SP, SP, *']	2020-11-24	273	46289333	43885586	2403747	131213	2190131	82403
['SP, SP, *']	2020-11-25	274	46289333	43874087	2415246	130453	2202197	82596
['SP, SP, *']	2020-11-26	275	46289333	43863236	2426097	130165	2213136	82796
['SP, SP, *']	2020-11-27	276	46289333	43852445	2436888	131095	2222775	83018
['SP, SP, *']	2020-11-28	277	46289333	43843114	2446219	134164	2228811	83244
['SP, SP, *']	2020-11-29	278	46289333	43834290	2455043	139241	2232327	83475
['SP, SP, *']	2020-11-30	279	46289333	43825425	2463908	140978	2239221	83709
['SP, SP, *']	2020-12-01	280	46289333	43815498	2473835	138679	2251208	83948
['SP, SP, *']	2020-12-02	281	46289333	43805509	2483824	136401	2263231	84192
['SP, SP, *']	2020-12-03	282	46289333	43794468	2494865	136751	2273675	84439
['SP, SP, *']	2020-12-04	283	46289333	43782307	2507026	137577	2284757	84692
['SP, SP, *']	2020-12-05	284	46289333	43768880	2520453	139906	2295592	84955
['SP, SP, *']	2020-12-06	285	46289333	43755369	2533964	146566	2302175	85223
['SP, SP, *']	2020-12-07	286	46289333	43741876	2547457	152024	2309940	85493
['SP, SP, *']	2020-12-08	287	46289333	43728673	2560660	151952	2322932	85776
['SP, SP, *']	2020-12-09	288	46289333	43715278	2574055	153057	2334935	86063
['SP, SP, *']	2020-12-10	289	46289333	43701433	2587900	156382	2345162	86356
['SP, SP, *']	2020-12-11	290	46289333	43687429	2601904	161776	2353482	86646
['SP, SP, *']	2020-12-12	291	46289333	43673522	2615811	168818	2360061	86932
['SP, SP, *']	2020-12-13	292	46289333	43660110	2629223	177342	2364662	87219
['SP, SP, *']	2020-12-14	293	46289333	43646356	2642977	182117	2373352	87508
['SP, SP, *']	2020-12-15	294	46289333	43633605	2655728	179379	2388555	87794
['SP, SP, *']	2020-12-16	295	46289333	43623650	2665683	173289	2404365	88029
