Territory	Date	t	N	S(t)	I(t)	R(t)	D(t)
Sudeste, SP, *	2020-10-31	291	45919049	0	1116127	1052077	39311
Sudeste, SP, *	2020-11-01	292	45919049	0	1117147	1053440	39331
Sudeste, SP, *	2020-11-02	293	45919049	0	1117795	1053991	39346
Sudeste, SP, *	2020-11-03	294	45919049	0	1118544	1058479	39364
Sudeste, SP, *	2020-11-04	295	45919049	0	1123299	1063133	39549
Sudeste, SP, *	2020-11-05	296	45919049	0	1125936	1067342	39717
Sudeste, SP, *	2020-11-06	297	45919049	0	1125936	1073892	39717
Sudeste, SP, *	2020-11-07	298	45919049	0	1125936	1079492	39717
Sudeste, SP, *	2020-11-08	299	45919049	0	1125936	1081902	39717
Sudeste, SP, *	2020-11-09	300	45919049	0	1125936	1082707	39717
Sudeste, SP, *	2020-11-10	301	45919049	0	1125936	1088059	39717
Sudeste, SP, *	2020-11-11	302	45919049	0	1150872	1093320	39907
Sudeste, SP, *	2020-11-12	303	45919049	0	1156652	1098414	40202
Sudeste, SP, *	2020-11-13	304	45919049	0	1162782	1103624	40202
Sudeste, SP, *	2020-11-14	305	45919049	0	1167422	1106609	40549
Sudeste, SP, *	2020-11-15	306	45919049	0	1168640	1107840	40564
Sudeste, SP, *	2020-11-16	307	45919049	0	1169377	1108519	40576
Sudeste, SP, *	2020-11-17	308	45919049	0	1178075	1110189	40749
Sudeste, SP, *	2020-11-18	309	45919049	0	1184496	1115088	40927
Sudeste, SP, *	2020-11-19	310	45919049	0	1191290	1118245	41074
Sudeste, SP, *	2020-11-20	311	45919049	0	1200348	1119224	41179
Sudeste, SP, *	2020-11-21	312	45919049	0	1205435	1119882	41256
Sudeste, SP, *	2020-11-22	313	45919049	0	1209588	1120167	41267
Sudeste, SP, *	2020-11-23	314	45919049	0	1210625	1120291	41276
Sudeste, SP, *	2020-11-24	315	45919049	0	1215844	1120430	41455
Sudeste, SP, *	2020-11-25	316	45919049	0	1224744	1141595	41601
Sudeste, SP, *	2020-11-26	317	45919049	0	1229267	1146973	41773
Sudeste, SP, *	2020-11-27	318	45919049	0	1233587	1152219	41902
Sudeste, SP, *	2020-11-28	319	45919049	0	1238094	1156247	42048
Sudeste, SP, *	2020-11-29	320	45919049	0	1240473	1157281	42076
Sudeste, SP, *	2020-11-30	321	45919049	0	1241653	1157899	42095
Sudeste, SP, *	2020-12-01	322	45919049	0	1250590	1165190	42290
Sudeste, SP, *	2020-12-02	323	45919049	0	1259704	1174097	42456
Sudeste, SP, *	2020-12-03	324	45919049	0	1267912	1180593	42637
Sudeste, SP, *	2020-12-04	325	45919049	0	1276149	1189123	42788
Sudeste, SP, *	2020-12-05	326	45919049	0	1285087	1194173	42969
Sudeste, SP, *	2020-12-06	327	45919049	0	1287762	1197843	43015
Sudeste, SP, *	2020-12-07	328	45919049	0	1288878	1198829	43040
Sudeste, SP, *	2020-12-08	329	45919049	0	1296801	1204542	43282
Sudeste, SP, *	2020-12-09	330	45919049	0	1306585	1212918	43461
Sudeste, SP, *	2020-12-10	331	45919049	0	1316371	1217796	43661
Sudeste, SP, *	2020-12-11	332	45919049	0	1325162	1222809	43802
Sudeste, SP, *	2020-12-12	333	45919049	0	1333763	1227288	43971
Sudeste, SP, *	2020-12-13	334	45919049	0	1334703	1229847	44018
Sudeste, SP, *	2020-12-14	335	45919049	0	1337016	1230980	44050
Sudeste, SP, *	2020-12-15	336	45919049	0	1341428	1238987	44282
Sudeste, SP, *	2020-12-16	337	45919049	0	1341428	1247853	44282
Sudeste, SP, *	2020-12-17	338	45919049	0	1361731	1255266	44681
Sudeste, SP, *	2020-12-18	339	45919049	0	1371653	1262542	44878
Sudeste, SP, *	2020-12-19	340	45919049	0	1384100	1270412	45029
Sudeste, SP, *	2020-12-20	341	45919049	0	1384100	1272911	45029
Sudeste, SP, *	2020-12-21	342	45919049	0	1388043	1273980	45136
Sudeste, SP, *	2020-12-22	343	45919049	0	1398757	1281648	45395
Sudeste, SP, *	2020-12-23	344	45919049	0	1409140	1292095	45576
Sudeste, SP, *	2020-12-24	345	45919049	0	1418491	1301459	45758
Sudeste, SP, *	2020-12-25	346	45919049	0	1422087	1310039	45795
Sudeste, SP, *	2020-12-26	347	45919049	0	1423340	1318489	45808
Sudeste, SP, *	2020-12-27	348	45919049	0	1426176	1319685	45863
Sudeste, SP, *	2020-12-28	349	45919049	0	1427752	1321751	45902
Sudeste, SP, *	2020-12-29	350	45919049	0	1440229	1326868	46195
Sudeste, SP, *	2020-12-30	351	45919049	0	1452078	1328558	46477
Sudeste, SP, *	2020-12-31	352	45919049	0	1462297	1346713	46717
Sudeste, SP, *	2021-01-01	353	45919049	0	1466191	1356433	46775
Sudeste, SP, *	2021-01-02	354	45919049	0	1467953	1367973	46808
Sudeste, SP, *	2021-01-03	355	45919049	0	1471422	1368312	46845
Sudeste, SP, *	2021-01-04	356	45919049	0	1473670	1371881	46888
